Sample,Short Term Fuel Trim -Bank 1\(%\),Long Term Fuel Trim - Bank 1\(%\),Engine RPM\(rpm\),Ignition Timing Advanece for #1 Cylinder,Air Flow Rate from Mass Air Flow\(g/s\),Absolute Throttle Position\(%\)
0,17.2,-5.5,783,12.0,3.61,2.0
1,25.0,-5.5,388,6.0,7.92,0.0
2,25.0,-5.5,0,6.0,0.09,0.0
3,25.0,-5.5,0,6.0,0.07,0.0
4,25.0,-5.5,0,6.0,0.06,0.0
5,25.0,-5.5,0,6.0,0.06,0.0
6,25.0,-5.5,0,6.0,0.05,61.2
7,25.0,-5.5,0,6.0,0.05,100.0
8,25.0,-5.5,0,6.0,0.05,0.0
9,25.0,-5.5,0,6.0,0.05,100.0
10,25.0,-5.5,0,6.0,0.05,0.0
11,25.0,-5.5,0,6.0,0.05,0.0
12,25.0,-5.5,0,6.0,1.29,0.0
13,2.3,-5.5,941,10.0,20.85,12.5
14,-16.4,-1.6,4009,35.0,17.05,9.4
15,-4.7,-1.6,4415,37.5,16.41,8.2
16,-0.8,-1.6,4525,38.0,19.17,9.4
17,-0.8,-1.6,4567,38.5,19.29,9.8
18,-0.8,-1.6,4726,39.0,19.13,9.8
19,-1.6,-1.6,4875,40.0,14.34,6.7
20,-12.5,-2.3,2570,36.0,4.03,0.0
21,0.8,-5.5,909,7.5,3.36,0.0
22,-1.6,-5.5,812,9.0,3.07,0.0
23,7.0,-5.5,801,10.5,2.96,0.0
24,10.2,-5.5,791,11.5,3.01,0.0
25,19.5,-5.5,742,18.0,3.36,0.0
26,25.0,-5.5,246,6.0,3.05,0.0
27,25.0,-5.5,0,6.0,0.08,0.0
28,25.0,-5.5,0,6.0,0.07,0.0
29,25.0,-5.5,0,6.0,0.06,0.0
30,25.0,-5.5,0,6.0,0.06,0.0
31,25.0,-5.5,0,6.0,0.06,0.0
32,25.0,-5.5,0,6.0,0.06,0.0
33,25.0,-5.5,0,6.0,0.05,0.0
34,25.0,-5.5,0,6.0,0.05,0.0
35,25.0,-5.5,0,6.0,0.05,0.0
36,25.0,-5.5,0,6.0,0.05,0.0
37,25.0,-5.5,0,6.0,0.05,0.0
38,25.0,-5.5,0,6.0,0.05,0.0
39,25.0,-5.5,0,6.0,0.05,0.0
40,25.0,-5.5,0,6.0,0.05,0.0
41,25.0,-5.5,0,6.0,0.05,0.0
42,25.0,-5.5,0,6.0,0.05,0.0
43,25.0,-5.5,0,6.0,0.05,0.0
44,25.0,-5.5,0,6.0,0.05,0.0
45,25.0,-5.5,0,6.0,0.05,0.0
46,25.0,-5.5,0,6.0,0.05,0.0
47,25.0,-5.5,0,6.0,0.05,0.0
48,25.0,-5.5,0,6.0,0.05,0.0
49,25.0,-5.5,0,6.0,0.05,0.0
50,25.0,-5.5,0,6.0,0.05,0.0
51,25.0,-5.5,0,6.0,0.05,0.0
52,25.0,-5.5,0,6.0,0.05,0.0
53,25.0,-5.5,0,6.0,0.05,0.0
54,25.0,-5.5,0,6.0,0.05,0.0
55,25.0,-5.5,0,6.0,0.05,0.0
56,25.0,-5.5,0,6.0,0.05,0.0
57,25.0,-5.5,0,6.0,0.05,0.0
58,25.0,-5.5,0,6.0,0.05,0.0
59,25.0,-5.5,0,6.0,0.05,0.0
